Date,Campaign ID,Keyword,Cost,CPC
2021-09-01,1646440683,internet TvCO,-230323,3842.99
2021-10-04,1646440648,planes TvCO hogar,-230545,2119.28
2021-11-30,1646440683,TvCO internet,-230801,2030.4
2021-12-17,1646440683,TvCO internet,-232011,2032.11
2021-11-27,1646440683,TvCO internet,-232253,2030.91
2021-09-04,1646440683,internet TvCO hogar,-233322,4124.48
2021-12-12,1646440683,TvCO internet,-233503,2012.2
2021-10-06,1646440683,internet TvCO hogar,-234352,4031.92
2021-10-06,1646440683,internet TvCO,-231483,3219.02
2021-12-04,14832003666,numero TvCO,-231325,1313.22
2021-11-14,14832003666,numero TvCO,-233802,2111.81
2021-09-30,1646440683,internet TvCO,-238314,3134.23
2021-12-08,14832003666,numero TvCO,-238255,1324.22
2021-09-01,1646440683,internet TvCO hogar,-281212,3900.22
2021-11-03,14832003666,numero TvCO,-282881,822.21
2021-09-10,1646440683,internet TvCO hogar,-283201,1800.33
2021-09-07,1646440648,planes TvCO hogar,-285511,2134.13
2021-10-27,1646440683,internet hogar TvCO,-281204,1213.04
2021-12-13,14832003666,numero TvCO,-283013,1132.83
2021-10-16,14832003666,TvCO plan hogar,-283155,1332.91
2021-10-11,1646440683,internet TvCO,-220002,2911.13
2021-11-03,1646440683,internet hogar TvCO,-221454,4200.91
2021-12-23,1646440683,TvCO internet,-221181,1883.14
2021-10-30,14832003666,numero TvCO,-222043,1048.11
2021-12-25,1646440648,TvCO hogar,-222822,492.21
2021-09-09,1646440683,internet hogar TvCO,-223323,4832.08
2021-09-02,1646440683,internet hogar TvCO,-221122,4231.89
2021-09-29,1646440683,internet TvCO hogar,-221215,3293.21
2021-10-22,1646440683,internet TvCO hogar,-223001,4438.22
2021-10-01,1646440683,internet TvCO hogar,-223203,3312.1
2021-10-13,1646440683,internet TvCO hogar,-223111,3344.33
2021-10-21,1646440683,TvCO internet,-223828,2111.32
2021-09-14,1646440648,planes TvCO hogar,-228185,2142.22
